RoomCost($),Region
2174,Atlantic
4216,Atlantic
4423,Atlantic
4238,Atlantic
3200,Atlantic
3700,Atlantic
5655,Atlantic
5310,Atlantic
3476,Atlantic
4755,Atlantic
4590,Atlantic
3994,Atlantic
4516,Atlantic
2241,Atlantic
4780,Atlantic
3785,Quebec
6732,Quebec
2912,Quebec
2912,Quebec
2416,Quebec
2328,Quebec
3482,Quebec
3360,Quebec
3400,Quebec
2680,Quebec
3240,Quebec
3048,Quebec
5120,Ontario
6937,Ontario
4770,Ontario
4930,Ontario
4590,Ontario
4515,Ontario
5365,Ontario
4622,Ontario
6832,Ontario
6234,Ontario
4464,Ontario
7190,Ontario
5140,Ontario
5660,Ontario
4184,Ontario
5449,Ontario
4376,Ontario
5150,Ontario
4460,Ontario
6100,Ontario
6820,Ontario
4710,Ontario
5250,Ontario
4950,Ontario
6321,Ontario
6460,Ontario
5408,Ontario
5550,Ontario
6420,Ontario
6150,Ontario
2954,Prairies
6273,Prairies
2373,Prairies
3496,Prairies
3220,Prairies
4400,Prairies
2607,Prairies
2875,Prairies
3115,Prairies
3300,Prairies
2424,Prairies
3120,Prairies
5530,Prairies
5140,Prairies
2061,Prairies
3520,Prairies
3584,Prairies
3520,Prairies
5800,Prairies
5800,Prairies
4054,British Columbia
4178,British Columbia
7290,British Columbia
4876,British Columbia
4589,British Columbia
4400,British Columbia
3400,British Columbia
6000,British Columbia
3800,British Columbia
3808,British Columbia
5045,British Columbia
