MealPrep,AgeGroup
3,15-24
5,15-24
5,15-24
5,25-34
5,25-34
5,35-44
5,35-44
5,35-44
5,45-54
5,45-54
5,45-54
5,45-54
5,55-64
5,55-64
5,55-64
5,55-64
10,15-24
10,15-24
10,25-34
10,25-34
10,35-44
10,35-44
10,45-54
10,45-54
10,45-54
10,45-54
10,55-64
10,55-64
10,55-64
10,55-64
10,55-64
10,55-64
12,25-34
15,15-24
15,15-24
15,25-34
15,25-34
15,25-34
15,25-34
15,35-44
15,35-44
15,45-54
15,45-54
15,45-54
15,45-54
15,45-54
15,55-64
15,55-64
15,55-64
15,55-64
15,55-64
16,55-64
20,25-34
20,25-34
20,25-34
20,25-34
20,35-44
20,45-54
20,45-54
20,45-54
20,55-64
20,55-64
25,25-34
25,25-34
25,35-44
25,45-54
25,55-64
25,55-64
30,15-24
30,15-24
30,15-24
30,15-24
30,25-34
30,25-34
30,25-34
30,25-34
30,25-34
30,25-34
30,35-44
30,35-44
30,35-44
30,35-44
30,35-44
30,45-54
30,45-54
30,45-54
30,45-54
30,45-54
30,45-54
30,45-54
30,55-64
30,55-64
30,55-64
30,55-64
30,55-64
30,55-64
30,55-64
30,55-64
35,25-34
35,45-54
35,45-54
35,45-54
40,25-34
40,35-44
40,35-44
40,35-44
40,35-44
40,45-54
40,45-54
40,45-54
40,45-54
40,55-64
40,55-64
40,55-64
45,15-24
45,15-24
45,15-24
45,25-34
45,25-34
45,45-54
45,45-54
45,45-54
45,45-54
45,55-64
45,55-64
45,55-64
45,55-64
45,55-64
45,55-64
45,55-64
50,25-34
50,45-54
50,45-54
50,45-54
50,55-64
55,25-34
55,35-44
55,35-44
55,45-54
57,35-44
60,15-24
60,15-24
60,15-24
60,25-34
60,25-34
60,25-34
60,25-34
60,25-34
60,35-44
60,35-44
60,35-44
60,45-54
60,45-54
60,45-54
60,45-54
60,45-54
60,45-54
60,55-64
60,55-64
60,55-64
60,55-64
60,55-64
60,55-64
60,55-64
65,15-24
65,35-44
65,45-54
65,55-64
65,55-64
70,25-34
70,35-44
70,35-44
70,35-44
75,25-34
75,25-34
75,35-44
75,35-44
75,55-64
78,25-34
80,25-34
80,25-34
80,35-44
80,35-44
80,45-54
85,15-24
85,35-44
85,45-54
85,55-64
90,25-34
90,35-44
90,35-44
90,35-44
90,45-54
90,45-54
90,45-54
90,55-64
90,55-64
95,45-54
95,45-54
95,45-54
95,55-64
100,25-34
105,25-34
105,25-34
105,35-44
105,35-44
105,35-44
105,45-54
105,55-64
108,45-54
110,35-44
120,35-44
120,45-54
120,55-64
125,25-34
130,35-44
135,25-34
135,55-64
150,35-44
150,55-64
165,25-34
165,45-54
180,25-34
180,35-44
221,25-34
225,35-44
255,35-44
