Country	Code	InternetUsers	LifeExpectancy
Norway	NOR	81	80.33
Oman	OMN	11	75.51
Pakistan	PAK	8	65.21
Panama	PAN	15	75.40
Papua New Guinea	PNG	2	57.32
Paraguay	PRY	4	71.65
Peru	PER	24	71.12
Philippines	PHL	6	71.39
Poland	POL	37	75.14
Portugal	PRT	30	78.38
Puerto Rico	PRI	25	78.42
Qatar	QAT	35	75.50
Romania	ROM	52	72.18
Russian Federation	RUS	18	65.56
Rwanda	RWA	1	45.59
Samoa	WSM	4	71.33
San Marino	SMR	54	82.19
Sao Tome and Principe	STP	14	65.20
Saudi Arabia	SAU	20	72.58
Senegal	SEN	5	62.76
Serbia	SRB	0	72.78
Seychelles	SYC	34	72.22
Sierra Leone	SLE	0	42.24
Singapore	SGP	59	79.85
Slovak Republic	SVK	42	74.20
Slovenia	SVN	62	77.67
Solomon Islands	SLB	2	63.33
Somalia	SOM	1	47.69
South Africa	ZAF	8	50.71
Spain	ESP	42	80.80
Sri Lanka	LKA	3	74.97
St. Lucia	LCA	60	74.39
St. Vincent and the Grenadines	VCT	29	71.38
Sudan	SDN	8	58.11
Suriname	SUR	8	69.99
Swaziland	SWZ	4	40.77
Sweden	SWE	77	80.77
Switzerland	CHE	58	81.51
Tanzania	TZA	1	51.89
Thailand	THA	13	70.24
Timor-Leste	TMP	0	57.16
Togo	TGO	5	58.20
Tonga	TON	3	73.03
Trinidad and Tobago	TTO	22	69.58
Turkey	TUR	18	71.49
Turkmenistan	TKM	1	63.01
Uganda	UGA	5	50.74
Ukraine	UKR	19	68.04
United Arab Emirates	ARE	40	79.32
United Kingdom	GBR	62	79.14
United States	USA	70	77.85
Uruguay	URY	26	75.73
Uzbekistan	UZB	4	67.50
"Venezuela, RB"	VEN	15	74.40
Vietnam	VNM	17	70.85
Virgin Islands (U.S.)	VIR	28	78.75
West Bank and Gaza	WBG	7	72.93
"Yemen, Rep."	YEM	1	62.21
Zambia	ZMB	4	41.67
Zimbabwe	ZWE	9	42.69
