Name	TotalBill02	ArchBill02	ArchBill01	N_Arch	N_Eng	N_Staff	Yr_Estab
BSA	29.5	24.8	23.7	39	36	240	1975
CSO	12.1	9	11.1	17	1	66	1961
American	18.1	4.9	5.1	9	35	168	1966
Schmidt	10.5	10.5	9.4	17	5	80	1976
Browning	12.2	12.2	10.4	22	0	70	1967
OdleMcG	5.1	2.4	4.2	6	2	47	1916
Ratio	9.6	8.8	10.2	16	0	62	1983
Cripe	15.3	4.6	3.1	7	17	91	1937
InterDes	5.9	5.9	6.2	19	6	55	1975
RQAW	6.7	2	2	7	11	72	1954
Gibraltar	7.2	6.1	5.9	13	7	66	1996
Fanning	10.6	6.9	6.8	12	5	64	1983
Schenkel	4.4	2.6	2.3	5	0	17	1958
Sebree	2	2	1.5	2	0	12	1973
Woollen	2.4	2.4	2.6	8	0	15	1955
Rowland	3.3	2.9	2.9	6	0	27	1968
DLZ	7.5	2.5	1.5	6	15	58	1978
Gove	6	2	2.5	2	3	16	1985
MECA	1.7	1.7	1.3	1	0	13	1989
Axis	1.6	1.6	1.5	5	0	10	1996
Partenh	1.6	1.6	1.1	3	0	9	1987
