ideal.wt.Women,ideal.wt.Men,,Ideal.Wt,Gender 
50,73,,50,Female
52,59,,52,Female
56,100,,56,Female
59,79.5,,59,Female
48,86,,48,Female
50,86,,50,Female
59,61,,59,Female
57,77,,57,Female
54.5,75,,54.5,Female
52,77,,52,Female
54.5,84,,54.5,Female
54.5,70,,54.5,Female
54.5,73,,54.5,Female
50,,,50,Female
54.5,,,54.5,Female
68,,,68,Female
50,,,50,Female
59,,,59,Female
54.5,,,54.5,Female
54,,,54,Female
54.5,,,54.5,Female
61,,,61,Female
59,,,59,Female
61,,,61,Female
41,,,41,Female
50,,,50,Female
,,,73,Male
,,,59,Male
,,,100,Male
,,,79.5,Male
,,,86,Male
,,,86,Male
,,,61,Male
,,,77,Male
,,,75,Male
,,,77,Male
,,,84,Male
,,,70,Male
,,,73,Male
