Name,Net.Income.mil
Suncor Energy ,38788000
Royal Bank of Canada ,34505000
Power Corp. of Canada ,33027000
George Weston Ltd. ,32873000
Imperial Oil,31189000
Magna International ,31006000
Toronto-Dominion Bank,30334000
Great-West Lifeco,30115000
Manulife Financial ,30038000
Onex Corp. ,27511000
Bank of Nova Scotia,26852000
Enbridge Inc.,25617000
Walmart Canada ,23435000
Husky Energy,23358000
Alimentation Couche-Tard ,23020300
Bank of Montreal ,20967000
BCE Inc. ,20242000
Brookfield Asset Management ,19940000
Sun Life Financial ,18012000
Cenovus Energy ,17756000
Bombardier Inc.,17445000
Cdn. Imperial Bank of Commerce ,17130000
Agrium Inc. ,16784000
Caisse de dépôt et placement,16492000
Empire Co. ,16329500
Canadian Natural Resources ,16236000
Costco Wholesale Canada ,15717000
Barrick Gold ,14645000
Desjardins Group ,14495000
Thomson Reuters Corp. ,14236000
Viterra Inc.,13725105
Canada Mortgage and Housing ,13455000
Rogers Communications,12509000
Air Canada,12263000
Hydro-Québec ,12256000
Metro Inc. ,12085600
Honda Canada ,11600000
Novelis Inc. ,11545000
Canadian Tire Corp.,11189800
Research In Motion,11088000
Telus Corp. ,10944000
Shoppers Drug Mart,10781848
Syncrude Canada ,10629000
Teck Resources ,10537000
Ultramar Ltd. ,10376000
Canadian National Railway Co. ,10235000
Rio Tinto Alcan Inc. ,10105000
McKesson Canada ,9981000
Catamaran Corp. ,9940120
Ford Motor Co. of Canada ,9523000
IBM Canada,8915000
Federated Co-operatives,8794000
TransCanada Corp. ,8349000
SNC-Lavalin Group ,8104392
Fairfax Financial Holdings ,8022800
Potash Corp. of Saskatchewan,8012000
General Motors of Canada ,7814000
Canada Post ,7579000
Jim Pattison Group,7500000
Industrial Alliance Insurance,7481000
Talisman Energy ,7312000
Chrysler Canada,7272000
Home Depot of Canada ,7225000
National Bank of Canada,7102000
Intact Financial ,7096000
James Richardson & Sons ,7000458
Saputo Inc.,6932737
Nexen Inc,6778000
Canada Safeway ,6675000
Finning International,6635597
Celestica Inc.,6507200
McCain Foods,6333055
Vale Canada ,5972000
Harvest Operations ,5946900
Hydro One,5732000
Canadian Pacific Railway Ltd.,5704000
Goldcorp Inc. ,5665000
Ontario Power Generation,5421000
Fluor Canada,5372000
Encana Corp. ,5267000
Best Buy Canada,4818000
Shaw Communications ,5123000
Home Hardware Stores ,5093000
Apple Canada,5067109
Nova Chemicals ,5049000
Gibson Energy,4935944
Rona Inc. ,4919441
La Coop Fédérée de Québec ,4896949
Maple Leaf Foods ,4895793
Insurance Corp. of B.C. ,4859000
BC Hydro and Power,4803000
CGI Group ,4786857
Dow Chemical Canada ,4633000
Quebecor Media,4550100
Atco Ltd.,4379000
Quebecor Inc. ,4353900
Sears Canada ,4314300
Kinross Gold ,4310200
First Quantum Minerals ,4194900
Parkland Fuel ,4127739
