Sqft,Log10 Sqft
6196,3.792111409
2908,3.463594402
4780,3.679427897
2984,3.474798819
2950,3.469822016
2872,3.458184436
3231,3.509336958
8248,3.916348652
3218,3.50758604
8295,3.91881639
2306,3.362859303
2650,3.423245874
3023,3.480438147
5083,3.70612011
5084,3.706205542
3912,3.592398846
8438,3.926239521
6102,3.785472203
2153,3.33304403
4498,3.653019451
2364,3.373647472
2436,3.386677284
2610,3.416640507
2470,3.392696953
2921,3.465531557
2558,3.40790054
10132,4.005695181
1750,3.243038049
2145,3.331427297
1956,3.29136885
2114,3.325104983
4983,3.697490887
4452,3.648555156
7228,3.859018144
7252,3.860457795
2926,3.466274322
5511,3.741230411
3778,3.577261954
2997,3.476686743
2386,3.377670439
4491,3.652343055
1990,3.298853076
1000,3
4119,3.614791792
3130,3.495544338
2790,3.445604203
6697,3.825880299
3142,3.497206181
4220,3.625312451
2600,3.414973348
4900,3.69019608
3151,3.498448403
4425,3.645913275
2988,3.475380593
4759,3.677515705
3660,3.563481085
3532,3.548020695
3430,3.53529412
4200,3.62324929
6483,3.811776022
4891,3.689397663
1717,3.234770295
4435,3.646893624
2807,3.448242413
1500,3.176091259
6400,3.806179974
2988,3.475380593
7056,3.848558572
3028,3.481155871
2083,3.31868927
6500,3.812913357
2550,3.40654018
3512,3.545554507
5063,3.704407927
3192,3.504062883
1903,3.279438788
8042,3.905364069
5627,3.750276915
3919,3.593175263
4116,3.614475366
1800,3.255272505
6687,3.825231323
3000,3.477121255
2846,3.454234896
2873,3.458335626
2400,3.380211242
2500,3.397940009
2969,3.472610198
6146,3.788592556
2980,3.474216264
4620,3.664641976
3565,3.552059534
3200,3.505149978
2390,3.378397901
4283,3.631748074
1974,3.295347148
4561,3.659060072
11378,4.056065929
5783,3.762153192
4297,3.633165354
2310,3.36361198
3000,3.477121255
3480,3.541579244
3656,3.563006187
2480,3.394451681
2875,3.458637849
6348,3.802636918
1908,3.28057837
826,2.916980047
2917,3.464936429
2747,3.438858659
3816,3.581608366
8170,3.912222057
3873,3.588047497
2550,3.40654018
1728,3.237543738
5753,3.759894374
3300,3.51851394
3139,3.496791316
7295,3.863025296
2500,3.397940009
1990,3.298853076
16287,4.211841096
1710,3.23299611
1920,3.283301229
8455,3.927113612
2321,3.36567514
975,2.989004616
3562,3.551693915
2900,3.462397998
5428,3.734639839
3659,3.563362409
3723,3.570893036
2650,3.423245874
2530,3.403120521
2404,3.380934463
3069,3.486996888
3315,3.520483533
3101,3.491501766
2074,3.316808752
2306,3.362859303
3390,3.530199698
3200,3.505149978
5750,3.759667845
3430,3.53529412
1783,3.251151343
4830,3.683947131
2100,3.322219295
4179,3.621072371
6296,3.799064719
2300,3.361727836
4400,3.643452676
2716,3.433929766
3260,3.5132176
2614,3.417305583
3632,3.56014584
5340,3.727541257
1552,3.190891717
1652,3.218010043
1956,3.29136885
2400,3.380211242
6453,3.809761665
1800,3.255272505
3392,3.530455844
5997,3.777934049
2828,3.451479405
6656,3.823213313
1692,3.228400359
2984,3.474798819
15335,4.18568378
3445,3.537189226
5126,3.709778602
2543,3.40534636
5099,3.707485012
4355,3.638988159
3248,3.511616021
3308,3.519565501
4383,3.641771471
4700,3.672097858
4601,3.662852233
3706,3.568905415
4984,3.697578034
1042,3.017867719
2478,3.394101302
3118,3.493876111
2900,3.462397998
930,2.968482949
3849,3.585347911
2855,3.455606113
1640,3.214843848
4205,3.623766
4495,3.652729696
5928,3.772908195
2515,3.400537989
5386,3.731266349
10107,4.004622266
2929,3.466719372
3949,3.596487134
3064,3.486288761
8054,3.906011625
2930,3.46686762
3110,3.492760389
4459,3.649237472
4839,3.684755622
5507,3.740915076
2517,3.400883216
2023,3.305995883
2075,3.317018101
2916,3.46478752
2568,3.409595019
3211,3.506640306
4642,3.666705136
10402,4.017116849
11600,4.064457989
1620,3.209515015
2591,3.413467413
6533,3.815112658
3154,3.498861689
4700,3.672097858
3565,3.552059534
2917,3.464936429
2962,3.471585054
1800,3.255272505
3000,3.477121255
6245,3.795532443
3663,3.563836919
3690,3.567026366
2836,3.452706227
4969,3.696268997
2418,3.383456297
2872,3.458184436
2857,3.45591024
4379,3.641374945
4296,3.633064273
5540,3.743509765
2015,3.30427505
7846,3.894648304
8200,3.913813852
1417,3.15136985
2574,3.410608543
6601,3.819609733
2450,3.389166084
2901,3.462547729
4411,3.644537058
2887,3.460446784
2662,3.425208051
2400,3.380211242
6163,3.789792168
2392,3.378761175
3087,3.489536629
