Manufacturer,Model,Engine Size,Cylinders,Fuel Type,Transmission/Gears,L/100K city,L/100K Highway
Audi,TTS COUPE QUATTRO,2,4,Z,AM6,10.1,7.4
Audi,TTS ROADSTER QUATTRO,2,4,Z,AM6,10.1,7.4
BMW,128i CABRIOLET,3,6,Z,A6,11.4,7.4
BMW,128i CABRIOLET,3,6,Z,M6,10.7,7
BMW,128i COUPE,3,6,Z,A6,11.3,6.8
BMW,128i COUPE,3,6,Z,M6,10.7,7
BMW,135i CABRIOLET,3,6,Z,AM7,11.8,7.9
BMW,135i CABRIOLET,3,6,Z,M6,10.6,6.8
BMW,135i COUPE,3,6,Z,AM7,11.7,7.9
BMW,135i COUPE,3,6,Z,M6,10.4,7
BMW,320i,2,4,Z,A8,8.5,5.2
BMW,320i,2,4,Z,M6,8.9,5.4
BMW,328i,2,4,Z,A8,8.6,5.5
BMW,328i,2,4,Z,M6,9,5.6
BMW,328i CABRIOLET,3,6,Z,A6,11.4,7.4
BMW,328i CABRIOLET,3,6,Z,M6,12.2,7.4
BMW,328i COUPE,3,6,Z,A6,11.3,6.8
BMW,328i COUPE,3,6,Z,M6,10.7,7
BMW,328i xDRIVE,2,4,Z,A8,9,6
BMW,328i xDRIVE COUPE,3,6,Z,A6,11.8,7.8
BMW,328i xDRIVE COUPE,3,6,Z,M6,12.2,7.6
BMW,335i,3,6,Z,A8,9.1,6
BMW,335i,3,6,Z,M6,10.6,6.8
BMW,335i CABRIOLET,3,6,Z,A6,11.6,7.4
BMW,335i CABRIOLET,3,6,Z,M6,10.6,6.8
BMW,335i COUPE,3,6,Z,A6,11.6,7.4
BMW,335i COUPE,3,6,Z,M6,10.6,6.8
BMW,335i xDRIVE,3,6,Z,A8,9.6,6.3
BMW,335i xDRIVE,3,6,Z,M6,10.8,7.2
BMW,335i xDRIVE COUPE,3,6,Z,A6,11.4,7.4
BMW,335i xDRIVE COUPE,3,6,Z,M6,10.8,7.2
BMW,335is CABRIOLET,3,6,Z,AM7,12.4,8.5
BMW,335is CABRIOLET,3,6,Z,M6,11.6,7.5
BMW,335is COUPE,3,6,Z,AM7,12.4,8.5
BMW,335is COUPE,3,6,Z,M6,11.6,7.5
BMW,528i,2,4,Z,A8,8.5,5.7
BMW,528i xDRIVE,2,4,Z,A8,9,6
BMW,535i xDRIVE,3,6,Z,A8,9.8,6.6
BMW,535i xDRIVE GRAN TURISMO,3,6,Z,A8,11.2,7.5
BMW,550i xDRIVE,4.4,8,Z,A8,13.2,8.3
BMW,550i xDRIVE GRAN TURISMO,4.4,8,Z,A8,12.9,8.3
BMW,650i xDRIVE CABRIOLET,4.4,8,Z,A8,12.9,8.3
BMW,650i xDRIVE COUPE,4.4,8,Z,A8,13.2,8.3
BMW,650i xDRIVE GRAN COUPE,4.4,8,Z,A8,12.9,8.3
BMW,740Li xDRIVE,3,6,Z,A8,11.2,7.5
BMW,750i xDRIVE,4.4,8,Z,A8,12.9,8.3
BMW,750Li xDRIVE,4.4,8,Z,A8,12.9,8.3
BMW,ACTIVEHYBRID 3,3,6,Z,A8,8,5.9
BMW,ACTIVEHYBRID 5,3,6,Z,A8,9.2,6.6
BMW,ACTIVEHYBRID 7L,3,6,Z,A8,9.3,6.6
BMW,ALPINA B7 xDRIVE,4.4,8,Z,A8,12.9,8.3
BMW,M3 CABRIOLET,4,8,Z,AM7,15.7,10.1
BMW,M3 CABRIOLET,4,8,Z,M6,15.7,10.1
BMW,M3 COUPE,4,8,Z,AM7,15.4,9.9
BMW,M3 COUPE,4,8,Z,M6,15.2,9.7
BMW,M5,4.4,8,Z,AM7,13.3,8.6
BMW,M5,4.4,8,Z,M6,14.4,9.2
BMW,M6 CABRIOLET,4.4,8,Z,AM7,13.3,8.6
BMW,M6 CABRIOLET,4.4,8,Z,M6,14.4,9.2
BMW,M6 COUPE,4.4,8,Z,AM7,13.3,8.6
BMW,M6 COUPE,4.4,8,Z,M6,14.4,9.2
BMW,Z4 sDRIVE28i,2,4,Z,A8,9.4,5.9
BMW,Z4 sDRIVE28i,2,4,Z,M6,9,5.6
BMW,Z4 sDRIVE35i,3,6,Z,AM7,12.4,8.5
BMW,Z4 sDRIVE35i,3,6,Z,M6,11.2,7.6
BMW,Z4 sDRIVE35is,3,6,Z,AM7,12.4,8.5
Buick,LACROSSE,3.6,6,X,AS6,12.2,7.3
Buick,,3.6,6,E,AS6,16.6,10.4
Buick,LACROSSE AWD,3.6,6,X,AS6,12.6,7.8
Buick,,3.6,6,E,AS6,17.4,11
Buick,LACROSSE eASSIST,2.4,4,X,AS6,8.3,5.4
Buick,REGAL,2,4,Z,AS6,11.4,6.9
Buick,,2,4,E,AS6,16.3,10
Buick,REGAL,2,4,Z,M6,10.5,6.2
Buick,,2,4,E,M6,14.1,8.9
Buick,REGAL eASSIST,2.4,4,X,AS6,8.3,5.4
Buick,REGAL GS,2,4,Z,AS6,11,7.4
Buick,REGAL GS,2,4,Z,M6,11.1,7.4
Buick,VERANO,2,4,Z,AS6,10.1,6.6
Buick,VERANO,2,4,Z,M6,10.2,6.3
Buick,VERANO,2.4,4,X,AS6,9.9,6.2
Buick,,2.4,4,E,AS6,14,8.6
CADILLAC,ATS,2,4,Z,AS6,9.9,6.3
CADILLAC,ATS,2,4,Z,M6,10.6,6.7
CADILLAC,ATS,2.5,4,X,AS6,9.2,6
CADILLAC,ATS,3.6,6,X,AS6,11.1,7.1
CADILLAC,,3.6,6,E,AS6,14.8,9.6
CADILLAC,ATS AWD,2,4,Z,AS6,10.3,6.6
CADILLAC,ATS AWD,3.6,6,X,AS6,11.7,7.5
CADILLAC,,3.6,6,E,AS6,15.6,10.1
CADILLAC,CTS,3,6,X,AS6,11.3,7.2
CADILLAC,CTS,3,6,X,M6,13.3,7.7
CADILLAC,CTS,3.6,6,X,AS6,11.4,6.8
CADILLAC,CTS AWD,3,6,X,AS6,11.9,7.6
CADILLAC,CTS AWD,3.6,6,X,AS6,11.7,7.4
CADILLAC,CTS SPORT WAGON,3,6,X,AS6,11.8,7.6
CADILLAC,CTS SPORT WAGON,3.6,6,X,AS6,11.8,7.5
CADILLAC,CTS SPORT WAGON AWD,3,6,X,AS6,11.9,7.6
CADILLAC,CTS SPORT WAGON AWD,3.6,6,X,AS6,11.7,7.4
CADILLAC,XTS,3.6,6,X,AS6,12.1,7.2
CADILLAC,XTS AWD,3.6,6,X,AS6,12.5,7.7
CHEVROLET,CAMARO,3.6,6,X,AS6,11.4,6.8
CHEVROLET,CAMARO,3.6,6,X,M6,12.4,7.1
CHEVROLET,CAMARO 2LS,3.6,6,X,A6,11.2,6.6
CHEVROLET,CAMARO SS,6.2,8,Z,AS6,13.6,8.2
CHEVROLET,CAMARO SS,6.2,8,Z,M6,13.4,8.3
CHEVROLET,CAMARO ZL1,6.2,8,Z,AS6,18.1,11.2
CHEVROLET,CAMARO ZL1,6.2,8,Z,M6,14.9,10.6
CHEVROLET,CORVETTE,6.2,8,Z,AS6,14.2,8.5
CHEVROLET,CORVETTE,6.2,8,Z,M6,12.9,7.7
CHEVROLET,CORVETTE Z06/427,7,8,Z,M6,14.3,8.3
CHEVROLET,CORVETTE ZR1,6.2,8,Z,M6,15.1,9.3
CHEVROLET,CRUZE,1.4,4,X,AS6,7.8,5.2
CHEVROLET,CRUZE,1.4,4,X,M6,7.8,5.2
CHEVROLET,CRUZE,1.8,4,X,AS6,9.2,5.6
CHEVROLET,CRUZE,1.8,4,X,M6,8.2,5.4
CHEVROLET,CRUZE ECO,1.4,4,X,A6,7.8,5
CHEVROLET,CRUZE ECO,1.4,4,X,M6,7.2,4.6
CHEVROLET,IMPALA,3.6,6,X,A6,11.7,6.7
CHEVROLET,,3.6,6,E,A6,15.5,8.8
CHEVROLET,MALIBU,2,4,Z,AS6,10.1,6.6
CHEVROLET,MALIBU,2.5,4,X,AS6,9.2,5.7
CHEVROLET,MALIBU ECO,2.4,4,X,AS6,8.1,5.3
CHEVROLET,SONIC,1.4,4,X,AS6,7.7,5.5
CHEVROLET,SONIC,1.4,4,X,M6,7.3,5.1
CHEVROLET,SONIC,1.8,4,X,AS6,8.3,5.5
CHEVROLET,SONIC,1.8,4,X,M5,7.7,5.6
CHEVROLET,SONIC 5,1.4,4,X,AS6,7.7,5.5
CHEVROLET,SONIC 5,1.4,4,X,M6,7.3,5.1
CHEVROLET,SONIC 5,1.8,4,X,AS6,8.3,5.5
CHEVROLET,SONIC 5,1.8,4,X,M5,7.7,5.6
CHEVROLET,SONIC RS,1.4,4,X,AS6,8.2,5.9
CHEVROLET,SONIC RS,1.4,4,X,M6,7.5,5.8
CHEVROLET,SPARK,1.2,4,X,A4,7.1,5.2
CHEVROLET,SPARK,1.2,4,X,M5,6.3,5.1
CHRYSLER,200 CONVERTIBLE,2.4,4,X,A4,10.3,6.9
CHRYSLER,200 CONVERTIBLE,2.4,4,X,A6,11.8,7.3
CHRYSLER,200 CONVERTIBLE FFV,3.6,6,X,A6,11,6.8
CHRYSLER,,3.6,6,E,A6,15.3,9.5
CHRYSLER,200 SEDAN,2.4,4,X,A4,10,6.9
CHRYSLER,200 SEDAN,2.4,4,X,A6,10.6,6.5
CHRYSLER,200 SEDAN FFV,3.6,6,X,A6,11,6.8
CHRYSLER,,3.6,6,E,A6,15.3,9.5
CHRYSLER,300,3.6,6,X,A8,10.9,6.4
CHRYSLER,300 (FuelSaver MDS),5.7,8,X,A5,13.5,8
CHRYSLER,300 AWD,3.6,6,X,A8,11.4,7.3
CHRYSLER,300 AWD (FuelSaver MDS),5.7,8,X,A5,14.4,8.5
CHRYSLER,300 AWD FFV,3.6,6,X,A8,11.4,7.3
CHRYSLER,L,3.6,6,E,A8,15.6,10
CHRYSLER,300 FFV,3.6,6,X,A8,10.9,6.4
CHRYSLER,L,3.6,6,E,A8,15.1,8.7
CHRYSLER,300 SRT (FuelSaver MDS),6.4,8,Z,A5,15,8.7
DODGE,AVENGER,2.4,4,X,A4,10,6.9
DODGE,AVENGER,2.4,4,X,A6,10.6,6.5
DODGE,AVENGER FFV,3.6,6,X,A6,11,6.8
DODGE,,3.6,6,E,A6,15.3,9.5
DODGE,CHALLENGER,3.6,6,X,A5,11.7,7.3
DODGE,CHALLENGER,5.7,8,X,M6,14,8.5
DODGE,CHALLENGER SRT,6.4,8,Z,M6,15.1,8.8
DODGE,CHARGER,3.6,6,X,A5,11.7,7.3
DODGE,CHARGER,3.6,6,X,A8,10.9,6.4
DODGE,CHARGER AWD,3.6,6,X,A8,11.4,7.3
DODGE,CHARGER AWD FFV,3.6,6,X,A8,11.4,7.3
DODGE,,3.6,6,E,A8,15.6,10
DODGE,CHARGER FFV,3.6,6,X,A5,11.7,7.3
DODGE,,3.6,6,E,A5,16.5,10.7
DODGE,CHARGER FFV,3.6,6,X,A8,10.9,6.4
DODGE,,3.6,6,E,A8,15.1,8.7
DODGE,CHARGER SRT (FuelSaver MDS),6.4,8,Z,A5,15,8.7
DODGE,DART,2,4,X,A6,8.6,5.8
DODGE,DART,2,4,X,M6,8.1,5.4
DODGE,DART FFV,2,4,X,A6,8.6,5.8
DODGE,,2,4,E,A6,12.7,8.2
DODGE,DART TURBO,1.4,4,X,AM6,7.4,5.3
DODGE,DART TURBO,1.4,4,X,M6,7.4,4.9
DODGE,DART TURBO AERO,1.4,4,X,AM6,7.2,4.9
DODGE,DART TURBO AERO,1.4,4,X,M6,7.3,4.8
FIAT,500 ABARTH,1.4,4,X,M5,7.1,5.7
FIAT,500 CABRIO,1.4,4,X,A6,7.4,5.7
FIAT,500 CABRIO,1.4,4,X,M5,6.7,5.2
FIAT,500 HATCHBACK,1.4,4,X,A6,7.4,5.7
FIAT,500 HATCHBACK,1.4,4,X,M5,6.4,4.9
FIAT,500 HATCHBACK TURBO,1.4,4,X,M5,7.1,5.7
FORD,C-MAX HYBRID,2,4,X,AV,4,4.1
FORD,FIESTA,1.6,4,X,A6,6.9,5.1
FORD,FIESTA,1.6,4,X,M5,6.9,5.1
FORD,FIESTA SFE,1.6,4,X,A6,6.9,4.9
FORD,FOCUS,2,4,X,M6,8.9,6.2
FORD,FOCUS FFV,2,4,X,A6,7.5,5.1
FORD,,2,4,E,A6,10.2,6.9
FORD,FOCUS FFV,2,4,X,AS6,7.5,5.1
FORD,,2,4,E,AS6,10.2,6.9
FORD,FOCUS FFV,2,4,X,M5,7.8,5.5
FORD,,2,4,E,M5,10.5,7.4
FORD,FOCUS SFE FFV,2,4,X,A6,7.2,4.8
FORD,,2,4,E,A6,10.2,7
FORD,FUSION,1.6,4,X,AS6,8.7,5.5
FORD,FUSION (Auto Start-Stop),1.6,4,X,AS6,8.5,5.3
FORD,FUSION,1.6,4,X,M6,8,5.3
FORD,FUSION,2,4,X,AS6,9.2,5.9
FORD,FUSION,2.5,4,X,AS6,9.2,5.8
FORD,FUSION AWD,2,4,X,AS6,9.5,6.3
FORD,FUSION HYBRID,2,4,X,AV,4,4.1
FORD,MUSTANG,3.7,6,X,A6,10.8,6.3
FORD,MUSTANG,3.7,6,X,M6,11.2,6.8
FORD,MUSTANG,5,8,X,A6,11.8,7.8
FORD,MUSTANG,5,8,X,M6,13.8,7.9
FORD,MUSTANG,5.8,8,Z,M6,14.3,8.5
FORD,MUSTANG CONVERTIBLE,3.7,6,X,A6,11,6.9
FORD,TAURUS,2,4,X,AS6,9.2,6.2
FORD,TAURUS AWD,3.5,6,X,AS6,12.2,7.8
FORD,TAURUS FFV,3.5,6,X,AS6,10.7,6.9
FORD,,3.5,6,E,AS6,15.4,9.5
FORD,TAURUS FFV AWD,3.5,6,X,AS6,11.5,7.7
FORD,,3.5,6,E,AS6,16.6,10.6
HONDA,ACCORD,2.4,4,X,AV,7.8,5.5
HONDA,ACCORD,2.4,4,X,AV7,7.8,5.5
HONDA,ACCORD,2.4,4,X,M6,8.7,5.7
HONDA,ACCORD,3.5,6,X,A6,9.7,5.7
HONDA,ACCORD,3.5,6,X,AS6,10,6.1
HONDA,ACCORD,3.5,6,X,M6,11.5,7.1
HONDA,CIVIC,1.8,4,X,A5,7.1,5
HONDA,CIVIC,1.8,4,X,M5,7.2,5.4
HONDA,CIVIC,2.4,4,Z,M6,10,6.4
HONDA,CIVIC HYBRID,1.5,4,X,AV,4.4,4.2
HONDA,CR-Z,1.5,4,X,AV7,5.4,5
HONDA,CR-Z,1.5,4,X,M6,6.4,5.1
HONDA,FIT,1.5,4,X,A5,7.1,5.4
HONDA,FIT,1.5,4,X,M5,7.1,5.7
HONDA,INSIGHT,1.3,4,X,AV,4.7,4.4
HONDA,INSIGHT EX,1.3,4,X,AV7,4.7,4.3
HYUNDAI,ACCENT,1.6,4,X,AS6,7.2,5.2
HYUNDAI,ACCENT,1.6,4,X,M6,7.1,5.3
HYUNDAI,ELANTRA,1.8,4,X,AS6,7.2,5.2
HYUNDAI,ELANTRA,1.8,4,X,M6,7.1,5.2
HYUNDAI,ELANTRA COUPE,1.8,4,X,AS6,7.6,5.3
HYUNDAI,ELANTRA COUPE,1.8,4,X,M6,7.2,5.2
HYUNDAI,ELANTRA GT,1.8,4,X,AS6,7.6,5.3
HYUNDAI,ELANTRA GT,1.8,4,X,M6,7.8,5.3
HYUNDAI,EQUUS,5,8,Z,AS8,13.7,8.6
HYUNDAI,GENESIS,3.8,6,X,AS8,11.4,7.2
HYUNDAI,GENESIS COUPE,2,4,Z,AS8,10.4,6.4
HYUNDAI,GENESIS COUPE,2,4,Z,M6,10,6.6
HYUNDAI,GENESIS COUPE,3.8,6,Z,AS8,11.3,7
HYUNDAI,GENESIS COUPE,3.8,6,Z,M6,11.5,7.3
HYUNDAI,GENESIS R SPEC,5,8,Z,AS8,13.5,8.5
HYUNDAI,SONATA,2,4,X,AS6,9.2,5.8
HYUNDAI,SONATA,2.4,4,X,AS6,8.7,5.6
HYUNDAI,VELOSTER,1.6,4,X,AM6,7.2,5.2
HYUNDAI,VELOSTER,1.6,4,X,M6,7.5,5.3
HYUNDAI,VELOSTER TURBO,1.6,4,X,AS6,8.5,5.8
HYUNDAI,VELOSTER TURBO,1.6,4,X,M6,8.3,5.7
INFINITI,G37 CONVERTIBLE,3.7,6,Z,AS7,11.9,7.8
INFINITI,G37 CONVERTIBLE,3.7,6,Z,M6,12.9,8.4
INFINITI,G37 COUPE,3.7,6,Z,AS7,11,7.4
INFINITI,G37 COUPE,3.7,6,Z,M6,12.3,7.9
INFINITI,G37x COUPE,3.7,6,Z,AS7,11.8,7.9
INFINITI,M35h,3.5,6,Z,AS7,7.5,6.1
INFINITI,M37,3.7,6,Z,AS7,11.3,7.5
INFINITI,M37x,3.7,6,Z,AS7,12,8.3
INFINITI,M56,5.6,8,Z,AS7,12.9,8
INFINITI,M56x,5.6,8,Z,AS7,13.4,8.6
JAGUAR,XF I4T,2,4,Z,AS8,10.8,6.9
JAGUAR,XF V6 SUPERCHARGED AWD,3,6,Z,AS8,13.1,7.7
JAGUAR,XFR,5,8,Z,AS8,14,8.7
JAGUAR,XFR-S,5,8,Z,AS8,14,8.7
JAGUAR,XJ 3.0 AWD,3,6,Z,AS8,13,8.1
JAGUAR,XJ SUPERCHARGED,5,8,Z,AS8,14.2,8.6
JAGUAR,XJ SUPERSPORT,5,8,Z,AS8,14.2,8.6
JAGUAR,XJL 3.0 AWD,3,6,Z,AS8,13.2,8.1
JAGUAR,XJL SUPERCHARGED,5,8,Z,AS8,14.2,8.6
JAGUAR,XJL SUPERSPORT,5,8,Z,AS8,14.2,8.6
JAGUAR,XJL ULTIMATE,5,8,Z,AS8,14.2,8.6
JAGUAR,XK CONVERTIBLE,5,8,Z,AS6,13.5,9
JAGUAR,XK COUPE,5,8,Z,AS6,13.2,8.4
JAGUAR,XKR CONVERTIBLE,5,8,Z,AS6,14.2,9.2
JAGUAR,XKR COUPE,5,8,Z,AS6,13.9,9.2
JAGUAR,XKR-S CONVERTIBLE,5,8,Z,AS6,14.2,9.2
JAGUAR,XKR-S COUPE,5,8,Z,AS6,13.9,9.2
KIA,FORTE,2,4,X,AS6,8,5.5
KIA,FORTE,2,4,X,M6,8.1,5.7
KIA,FORTE,2.4,4,X,AS6,9,6.2
KIA,FORTE,2.4,4,X,M6,9.2,6.2
KIA,FORTE KOUP,2,4,X,AS6,8,5.7
KIA,FORTE KOUP,2,4,X,M6,8.3,6
KIA,FORTE KOUP,2.4,4,X,AS6,9,6.4
KIA,FORTE KOUP,2.4,4,X,M6,9.2,6.2
KIA,OPTIMA,2,4,X,AS6,9.2,5.8
KIA,OPTIMA,2.4,4,X,AS6,8.6,5.6
KIA,OPTIMA,2.4,4,X,M6,8.7,5.7
KIA,RIO,1.6,4,X,AS6,7.1,5.5
KIA,RIO,1.6,4,X,M6,6.9,5.3
KIA,RIO ECO,1.6,4,X,AS6,6.8,5.4
KIA,SOUL,1.6,4,X,AS6,8.1,6.5
KIA,SOUL,1.6,4,X,M6,8.1,6.5
KIA,SOUL,2,4,X,AS6,8.8,7.1
KIA,SOUL,2,4,X,M6,8.5,6.7
KIA,SOUL ECO,2,4,X,AS6,8.5,6.8
LEXUS,CT 200h,1.8,4,X,AV,4.5,4.8
LEXUS,ES 300h,2.5,4,X,AS6,4.7,5.1
LEXUS,ES 350,3.5,6,X,AS6,9.9,6.4
LEXUS,GS 350,3.5,6,Z,AS6,10.7,7.1
LEXUS,GS 350 AWD,3.5,6,Z,AS6,11.1,7.6
LEXUS,GS 450h,3.5,6,Z,AS6,6.5,6.2
LEXUS,IS 250,2.5,6,Z,AS6,9.6,6.5
LEXUS,IS 250 AWD,2.5,6,Z,AS6,10.1,7.3
LEXUS,IS 250C,2.5,6,Z,AS6,9.6,6.5
LEXUS,IS 350,3.5,6,Z,AS6,10.7,7.3
LEXUS,IS 350 AWD,3.5,6,Z,AS6,10.9,7.7
LEXUS,IS 350C,3.5,6,Z,AS6,10.7,7.3
LEXUS,IS F,5,8,Z,AS8,13,8.5
LEXUS,LS 460,4.6,8,Z,AS8,12.9,8.2
LEXUS,LS 460 AWD,4.6,8,Z,AS8,13.5,8.7
LEXUS,LS 460 L AWD,4.6,8,Z,AS8,13.5,8.7
LEXUS,LS 600h L,5,8,Z,AS8,10.6,9.1
LINCOLN,MKS AWD,3.5,6,X,AS6,12.2,7.8
LINCOLN,MKS AWD,3.7,6,X,AS6,11.6,7.5
LINCOLN,MKZ,2,4,X,AS6,9.2,5.9
LINCOLN,MKZ AWD,3.7,6,X,AS6,11.5,7.6
LINCOLN,MKZ HYBRID,2,4,X,AV,4.2,4.3
MASERATI,GRANTURISMO,4.7,8,Z,AS6,16.3,10
MASERATI,GRANTURISMO CONVERTIBLE,4.7,8,Z,AS6,16.3,10.1
MASERATI,QUATTROPORTE,4.7,8,Z,AS6,18,10.5
MAZDA,MAZDA2,1.5,4,X,A4,7.1,5.8
MAZDA,MAZDA2,1.5,4,X,M5,6.8,5.6
MAZDA,MAZDA3 DI 4-DOOR,2,4,X,AS6,7.1,4.9
MAZDA,MAZDA3 DI 4-DOOR,2,4,X,M6,7.7,5
MAZDA,MAZDA3 DI 5-DOOR,2,4,X,AS6,7.1,5
MAZDA,MAZDA3 DI 5-DOOR,2,4,X,M6,7.6,5.1
MAZDA,MAZDA3 L5X,2.5,4,X,AS5,9.2,6.8
MAZDA,MAZDA3 L5X,2.5,4,X,M6,10.2,7
MAZDA,MAZDA3 LFX,2,4,X,AS5,8.7,6
MAZDA,MAZDA3 LFX,2,4,X,M5,8.2,6
MAZDA,MAZDA6,2.5,4,X,AS5,9.4,6.4
MAZDA,MAZDA6,2.5,4,X,M6,9.8,6.6
MAZDA,MAZDA6,3.7,6,X,AS6,11.8,7.7
MAZDA,MAZDASPEED3,2.3,4,Z,M6,11.5,8
MAZDA,MX-5,2,4,Z,AS6,10.1,7.2
MAZDA,MX-5,2,4,Z,M5,9.2,7.1
MAZDA,MX-5,2,4,Z,M6,9.7,7.1
MERCEDES-BENZ,B 250,2,4,Z,AS7,7.9,5.5
MERCEDES-BENZ,C 250,1.8,4,Z,AS7,9.5,6.2
MERCEDES-BENZ,C 250 COUPE,1.8,4,Z,AS7,9.6,6.2
MERCEDES-BENZ,C 300 4MATIC FFV,3.5,6,Z,AS7,10.5,7.3
MERCEDES-BENZ,,3.5,6,E,AS7,14.8,10
MERCEDES-BENZ,C 350,3.5,6,Z,AS7,10.6,7.2
MERCEDES-BENZ,C 350 4MATIC,3.5,6,Z,AS7,10.5,7.2
MERCEDES-BENZ,C 350 COUPE,3.5,6,Z,AS7,10.7,7.2
MERCEDES-BENZ,C 350 COUPE 4MATIC,3.5,6,Z,AS7,10.7,7.3
MERCEDES-BENZ,C 63 AMG,6.2,8,Z,AS7,15.8,10.1
MERCEDES-BENZ,C 63 AMG COUPE,6.2,8,Z,AS7,15.8,10.1
MERCEDES-BENZ,CL 550 4MATIC,4.7,8,Z,AS7,13.8,8.8
MERCEDES-BENZ,CL 63 AMG,5.5,8,Z,AS7,13.8,9.3
MERCEDES-BENZ,CLS 550 4MATIC,4.7,8,Z,AS7,12.7,8.2
MERCEDES-BENZ,CLS 63 AMG,5.5,8,Z,AS7,13.6,8.6
MERCEDES-BENZ,E 300 4MATIC,3.5,6,Z,AS7,11.1,7
MERCEDES-BENZ,E 350 4MATIC,3.5,6,Z,AS7,11,6.9
MERCEDES-BENZ,E 350 4MATIC COUPE,3.5,6,Z,AS7,11,7.2
MERCEDES-BENZ,,3.5,6,E,AS7,14.9,9.8
MERCEDES-BENZ,E 350 4MATIC WAGON,3.5,6,Z,AS7,11.2,7.3
MERCEDES-BENZ,E 350 BLUETEC,3,6,D,AS7,9.4,5.9
MERCEDES-BENZ,E 350 CABRIOLET FFV,3.5,6,Z,AS7,10.8,7.1
MERCEDES-BENZ,,3.5,6,E,AS7,15.8,10.4
MERCEDES-BENZ,E 350 COUPE FFV,3.5,6,Z,AS7,10.6,7
MERCEDES-BENZ,,3.5,6,E,AS7,14.3,9.4
MERCEDES-BENZ,E 400 HYBRID,3.5,6,Z,AS7,8.3,6.6
MERCEDES-BENZ,E 550 4MATIC,4.7,8,Z,AS7,12.9,8
MERCEDES-BENZ,E 550 CABRIOLET,4.7,8,Z,AS7,12.2,7.8
MERCEDES-BENZ,E 550 COUPE,4.7,8,Z,AS7,12,7.5
MERCEDES-BENZ,E 63 AMG,5.5,8,Z,AS7,13.6,8.8
MERCEDES-BENZ,E 63 AMG WAGON,5.5,8,Z,AS7,13.8,9
MERCEDES-BENZ,S 350 BLUETEC 4MATIC,3,6,D,AS7,10.2,6.3
MERCEDES-BENZ,S 400 HYBRID,3.5,6,Z,AS7,11.1,7.7
MERCEDES-BENZ,S 550 4MATIC LWB,4.7,8,Z,AS7,13.8,8.8
MERCEDES-BENZ,S 550 4MATIC SWB,4.7,8,Z,AS7,13.8,8.7
MERCEDES-BENZ,S 63 AMG,5.5,8,Z,AS7,13.8,9.1
MERCEDES-BENZ,SL 550,4.7,8,Z,AS7,11.9,8.1
MERCEDES-BENZ,SL 63 AMG,5.5,8,Z,AS7,13.2,8.6
MERCEDES-BENZ,SLK 250,1.8,4,Z,AS7,9,6
MERCEDES-BENZ,SLK 250,1.8,4,Z,M6,9.1,6.1
MERCEDES-BENZ,SLK 350,3.5,6,Z,AS7,9.7,6.8
MERCEDES-BENZ,SLK 55 AMG,5.5,8,Z,AS7,10.9,7.3
MERCEDES-BENZ,SLS AMG COUPE,6.2,8,Z,AS7,16.3,10.7
