Manufacturer,Model,Engine Size,Cylinders,Fuel Type,Transmission/Gears,L/100K city,L/100K Highway
Acura,ILX,2,4,Z,AS5,8.6,5.6
Acura,ILX,2.4,4,Z,M6,9.8,6.5
Acura,ILX HYBRID,1.5,4,Z,AV7,5,4.8
Acura,TL,3.5,6,Z,AS6,10.4,6.8
Acura,TL AWD,3.7,6,Z,AS6,11.4,7.6
Acura,TL AWD,3.7,6,Z,M6,11.9,8
Acura,TSX,2.4,4,Z,AS5,9.3,6.2
Acura,TSX,2.4,4,Z,M6,9.9,6.8
Acura,TSX,3.5,6,Z,AS5,10.7,7
Audi,A3,2,4,Z,AS6,9.4,6.9
Audi,A3,2,4,Z,M6,10.4,6.7
Audi,A3 QUATTRO,2,4,Z,AM6,9.6,7.5
Audi,A3 TDI CLEAN DIESEL,2,4,D,AS6,6.7,4.7
Audi,A4,2,4,Z,AV8,8.6,6.2
Audi,A4 QUATTRO,2,4,Z,AS8,10.1,6.8
Audi,A4 QUATTRO,2,4,Z,M6,9.5,6.3
Audi,A5 CABRIOLET QUATTRO,2,4,Z,AS8,10.1,6.8
Audi,A5 QUATTRO,2,4,Z,AS8,10.1,6.8
Audi,A5 QUATTRO,2,4,Z,M6,9.5,6.3
Audi,A6 QUATTRO,2,4,Z,AS8,10.5,6.8
Audi,A6 QUATTRO,3,6,Z,AS8,11.3,7.3
Audi,A7 QUATTRO,3,6,Z,AS8,11.3,7.4
Audi,A8,3,6,Z,AS8,12,7.2
Audi,A8L,3,6,Z,AS8,12.4,7.6
Audi,A8L,4,8,Z,AS8,13.2,8.2
Audi,ALLROAD QUATTRO,2,4,Z,AS8,10.4,7.4
Audi,RS 5,4.2,8,Z,AM7,13.7,9.2
Audi,S4,3,6,Z,AM7,11.7,7.7
Audi,S4,3,6,Z,M6,13.1,8.3
Audi,S5,3,6,Z,AM7,11.7,7.7
Audi,S5,3,6,Z,M6,13.1,8.3
Audi,S5 CABRIOLET,3,6,Z,AM7,11.8,8
Audi,S6,4,8,Z,AM7,12.7,8.3
Audi,S7,4,8,Z,AM7,12.7,8.3
Audi,S8,4,8,Z,AS8,13.8,8.3
Audi,TT COUPE QUATTRO,2,4,Z,AM6,9.1,6.4
Audi,TT ROADSTER QUATTRO,2,4,Z,AM6,9.1,6.4
