         Luxury  Safety  Sporty  Family  Practical  Exciting
BMW         4       3       5       2        2         4
Ford        2       3       2       4        5         2
Infiniti    4       3       3       3        3         2
Jeep        3       3       2       4        4         3
Lexus       5       4       3       3        3         3
Chrysler    1       3       1       5        5         1
Mercedes    5       4       3       3        2         2
Saab        3       4       4       3        3         4
Porsche     4       2       5       1        1         5
Volvo       2       5       1       5        4         1
