result,oil
failure,maximum
success,medium
failure,maximum
failure,none
failure,none
failure,medium
failure,none
failure,maximum
success,medium
failure,maximum
success,none
failure,medium
success,medium
success,none
failure,none
failure,none
failure,none
success,none
failure,maximum
failure,medium
failure,maximum
failure,maximum
failure,maximum
failure,medium
failure,medium
failure,medium
failure,maximum
failure,maximum
success,maximum
failure,none
failure,medium
failure,none
failure,none
failure,medium
failure,maximum
success,medium
failure,none
failure,maximum
failure,maximum
failure,none
success,medium
failure,medium
success,none
failure,maximum
success,medium
failure,medium
failure,maximum
failure,medium
failure,none
failure,maximum
success,none
failure,medium
failure,maximum
failure,maximum
success,none
success,none
success,medium
failure,medium
failure,maximum
failure,none
failure,none
failure,medium
success,medium
failure,none
failure,maximum
failure,maximum
failure,maximum
failure,maximum
failure,medium
success,medium
success,medium
failure,none
failure,none
failure,medium
success,maximum
failure,medium
success,none
failure,maximum
failure,maximum
failure,none
failure,medium
success,medium
success,medium
success,maximum
failure,medium
success,none
failure,medium
failure,none
failure,maximum
success,none
success,none
success,medium
success,none
failure,maximum
failure,none
failure,medium
success,medium
failure,maximum
failure,medium
failure,none
failure,none
failure,maximum
failure,maximum
failure,maximum
failure,maximum
failure,none
success,none
failure,maximum
