WorkHrs,Education
90,4
575,4
60,3
470,2
477,3
595,1
495,1
130,5
510,2
165,1
560,2
270,2
480,2
610,2
630,2
405,1
225,1
480,1
450,1
540,1
115,5
750,4
540,2
535,3
405,2
420,5
510,5
525,5
605,1
406,2
489,5
470,1
240,2
607,5
640,2
945,1
330,1
445,3
495,3
580,2
450,3
690,2
450,1
495,2
805,3
165,3
505,5
270,1
675,2
440,5
590,1
555,2
765,4
270,3
215,1
355,2
483,2
540,2
420,1
308,4
515,2
240,3
426,2
930,4
585,2
670,1
30,5
320,2
375,5
515,1
660,2
165,3
570,5
570,2
465,2
570,2
750,3
600,2
585,2
575,1
795,2
30,3
491,1
200,3
180,3
470,1
485,2
465,5
465,4
430,2
270,3
840,2
370,1
380,5
385,1
505,5
60,3
547,3
450,3
605,1
690,1
450,2
20,1
570,2
330,3
485,2
265,2
490,3
195,5
510,3
702,1
90,1
567,3
390,4
495,2
390,3
435,1
830,2
290,2
465,1
600,3
520,5
533,3
720,4
495,2
425,1
605,5
510,2
323,5
495,4
300,3
465,1
175,1
510,1
440,2
690,2
470,2
210,2
480,1
490,2
510,2
203,2
865,3
475,1
450,2
350,2
690,3
490,2
180,1
770,5
570,3
745,1
488,3
550,3
488,3
535,5
655,2
465,2
510,4
285,1
655,2
260,4
523,1
350,5
480,2
505,2
715,3
599,2
450,2
170,1
420,1
35,2
490,1
435,3
440,1
505,2
630,4
400,1
475,1
445,2
515,2
570,2
600,1
350,3
523,5
990,2
518,2
730,4
50,5
669,2
135,5
447,1
510,5
360,2
544,4
495,4
325,3
570,3
620,2
558,1
351,1
770,2
675,3
735,4
835,3
495,1
315,1
240,2
545,2
475,2
460,4
545,5
405,2
413,1
475,2
180,2
480,2
450,4
435,2
495,1
490,3
174,1
450,1
405,2
495,2
508,4
505,2
555,2
420,2
470,2
180,5
480,2
460,1
420,1
505,5
540,5
100,3
285,1
240,4
305,3
1111,2
750,1
450,3
525,3
260,4
450,5
480,1
480,1
513,1
595,1
