Blue,Red,Yellow,Green,Colour,GrowthRate
5.34,13.67,4.61,2.72,Blue,5.34
7.45,13.04,6.63,1.08,Blue,7.45
7.15,10.16,5.29,3.97,Blue,7.15
5.53,13.12,5.29,2.66,Blue,5.53
6.34,11.06,4.76,3.69,Blue,6.34
7.16,11.43,5.57,1.96,Blue,7.16
7.77,13.98,6.57,3.38,Blue,7.77
5.09,13.49,5.25,1.87,Blue,5.09
,,,,Red,13.67
,,,,Red,13.04
,,,,Red,10.16
,,,,Red,13.12
,,,,Red,11.06
,,,,Red,11.43
,,,,Red,13.98
,,,,Red,13.49
,,,,Yellow,4.61
,,,,Yellow,6.63
,,,,Yellow,5.29
,,,,Yellow,5.29
,,,,Yellow,4.76
,,,,Yellow,5.57
,,,,Yellow,6.57
,,,,Yellow,5.25
,,,,Green,2.72
,,,,Green,1.08
,,,,Green,3.97
,,,,Green,2.66
,,,,Green,3.69
,,,,Green,1.96
,,,,Green,3.38
,,,,Green,1.87
