GF/EA,Division,Means,Residuals,,EA,EN,ES,WC,WN,WP
234,EA,228.12,5.88,,234,231,217,196,264,248
239,EA,228.12,10.88,,239,245,187,183,198,214
227,EA,228.12,-1.12,,227,190,219,213,186,215
216,EA,228.12,-12.12,,216,242,176,216,200,214
189,EA,228.12,-39.12,,189,314,171,259,256,194
237,EA,228.12,8.88,,237,257,245,211,222,184
190,EA,228.12,-38.12,,190,216,186,197,235,226
242,EA,228.12,13.88,,242,288,252,254,195,227
267,EA,228.12,38.88,,267,258,240,230,235,242
277,EA,228.12,48.88,,277,261,237,233,199,231
242,EA,228.12,13.88,,242,274,239,226,272,230
213,EA,228.12,-15.12,,213,250,210,244,214,207
194,EA,228.12,-34.12,,194,250,229,214,262,264
222,EA,228.12,-6.12,,222,217,224,219,227,225
222,EA,228.12,-6.12,,222,246,247,215,193,228
264,EA,228.12,35.88,,264,218,195,237,249,211
203,EA,228.12,-25.12,,203,212,213,202,202,204
231,EN,245.24,-14.24,,,,,,,
245,EN,245.24,-0.24,,,,,,,
190,EN,245.24,-55.24,,,,,,,
242,EN,245.24,-3.24,,,,,,,
314,EN,245.24,68.76,,,,,,,
257,EN,245.24,11.76,,,,,,,
216,EN,245.24,-29.24,,,,,,,
288,EN,245.24,42.76,,,,,,,
258,EN,245.24,12.76,,,,,,,
261,EN,245.24,15.76,,,,,,,
274,EN,245.24,28.76,,,,,,,
250,EN,245.24,4.76,,,,,,,
250,EN,245.24,4.76,,,,,,,
217,EN,245.24,-28.24,,,,,,,
246,EN,245.24,0.76,,,,,,,
218,EN,245.24,-27.24,,,,,,,
212,EN,245.24,-33.24,,,,,,,
217,ES,216.88,0.12,,,,,,,
187,ES,216.88,-29.88,,,,,,,
219,ES,216.88,2.12,,,,,,,
176,ES,216.88,-40.88,,,,,,,
171,ES,216.88,-45.88,,,,,,,
245,ES,216.88,28.12,,,,,,,
186,ES,216.88,-30.88,,,,,,,
252,ES,216.88,35.12,,,,,,,
240,ES,216.88,23.12,,,,,,,
237,ES,216.88,20.12,,,,,,,
239,ES,216.88,22.12,,,,,,,
210,ES,216.88,-6.88,,,,,,,
229,ES,216.88,12.12,,,,,,,
224,ES,216.88,7.12,,,,,,,
247,ES,216.88,30.12,,,,,,,
195,ES,216.88,-21.88,,,,,,,
213,ES,216.88,-3.88,,,,,,,
196,WC,220.53,-24.53,,,,,,,
183,WC,220.53,-37.53,,,,,,,
213,WC,220.53,-7.53,,,,,,,
216,WC,220.53,-4.53,,,,,,,
259,WC,220.53,38.47,,,,,,,
211,WC,220.53,-9.53,,,,,,,
197,WC,220.53,-23.53,,,,,,,
254,WC,220.53,33.47,,,,,,,
230,WC,220.53,9.47,,,,,,,
233,WC,220.53,12.47,,,,,,,
226,WC,220.53,5.47,,,,,,,
244,WC,220.53,23.47,,,,,,,
214,WC,220.53,-6.53,,,,,,,
219,WC,220.53,-1.53,,,,,,,
215,WC,220.53,-5.53,,,,,,,
237,WC,220.53,16.47,,,,,,,
202,WC,220.53,-18.53,,,,,,,
264,WN,224.06,39.94,,,,,,,
198,WN,224.06,-26.06,,,,,,,
186,WN,224.06,-38.06,,,,,,,
200,WN,224.06,-24.06,,,,,,,
256,WN,224.06,31.94,,,,,,,
222,WN,224.06,-2.06,,,,,,,
235,WN,224.06,10.94,,,,,,,
195,WN,224.06,-29.06,,,,,,,
235,WN,224.06,10.94,,,,,,,
199,WN,224.06,-25.06,,,,,,,
272,WN,224.06,47.94,,,,,,,
214,WN,224.06,-10.06,,,,,,,
262,WN,224.06,37.94,,,,,,,
227,WN,224.06,2.94,,,,,,,
193,WN,224.06,-31.06,,,,,,,
249,WN,224.06,24.94,,,,,,,
202,WN,224.06,-22.06,,,,,,,
248,WP,221.41,26.59,,,,,,,
214,WP,221.41,-7.41,,,,,,,
215,WP,221.41,-6.41,,,,,,,
214,WP,221.41,-7.41,,,,,,,
194,WP,221.41,-27.41,,,,,,,
184,WP,221.41,-37.41,,,,,,,
226,WP,221.41,4.59,,,,,,,
227,WP,221.41,5.59,,,,,,,
242,WP,221.41,20.59,,,,,,,
231,WP,221.41,9.59,,,,,,,
230,WP,221.41,8.59,,,,,,,
207,WP,221.41,-14.41,,,,,,,
264,WP,221.41,42.59,,,,,,,
225,WP,221.41,3.59,,,,,,,
228,WP,221.41,6.59,,,,,,,
211,WP,221.41,-10.41,,,,,,,
204,WP,221.41,-17.41,,,,,,,
