Africa Estimate,Starting point
8,10%
1,10%
35,65%
20,10%
5,10%
12,10%
5,10%
20,10%
12,10%
1,10%
8,10%
5,10%
60,65%
42,65%
25,10%
76,65%
15,65%
72,65%
70,65%
0,65%
70,65%
60,65%
25,10%
68,65%
50,65%
50,65%
10,65%
39,65%
70,65%
40,65%
5,65%
40,65%
76,65%
22,65%
15,10%
6,65%
8,10%
30,65%
24,65%
15,10%
9,10%
30,65%
15,10%
10,65%
50,65%
55,65%
1,10%
33,10%
14,10%
5,10%
40,65%
70,65%
35,65%
55,65%
70,10%
38,65%
75,65%
15,65%
4,65%
6,10%
6,10%
60,10%
5,10%
13,10%
35,10%
5,10%
14,10%
60,65%
40,65%
20,10%
20,65%
45,65%
13,10%
25,65%
15,10%
15,65%
55,65%
4,10%
40,65%
15,10%
75,65%
10,10%
7,10%
30,65%
14,10%
6,10%
5,10%
40,65%
18,65%
30,65%
35,65%
35,65%
15,10%
8,10%
30,65%
50,65%
45,65%
48,65%
20,10%
25,65%
25,65%
27,65%
60,65%
25,10%
14,65%
3.4,10%
6,10%
17,10%
25,10%
10,65%
8,10%
15,10%
11,10%
50,10%
37,10%
55,65%
66,65%
40,65%
7,10%
0,10%
50,65%
2,65%
30,10%
30,65%
