Route1,Route2,Route3,Route,Time
732,732,608,Route1,732
842,708,863,Route1,842
736,821,694,Route1,736
732,578,752,Route1,732
736,661,983,Route1,736
833,794,629,Route1,833
655,1029,605,Route1,655
688,674,628,Route1,688
727,552,717,Route1,727
721,657,748,Route1,721
695,869,679,Route1,695
707,652,637,Route1,707
843,745,767,Route1,843
852,648,765,Route1,852
789,869,620,Route1,789
,,,Route2,732
,,,Route2,708
,,,Route2,821
,,,Route2,578
,,,Route2,661
,,,Route2,794
,,,Route2,1029
,,,Route2,674
,,,Route2,552
,,,Route2,657
,,,Route2,869
,,,Route2,652
,,,Route2,745
,,,Route2,648
,,,Route2,869
,,,Route3,608
,,,Route3,863
,,,Route3,694
,,,Route3,752
,,,Route3,983
,,,Route3,629
,,,Route3,605
,,,Route3,628
,,,Route3,717
,,,Route3,748
,,,Route3,679
,,,Route3,637
,,,Route3,767
,,,Route3,765
,,,Route3,620
