Dystopia,Vampires,Historical Fiction,,Rating,Tag
4.31,4.36,4.26,,4.31,Dystopia
4.04,4.06,3.96,,4.04,Dystopia
4,3.54,3.96,,4,Dystopia
4.52,4.27,4.05,,4.52,Dystopia
4.17,3.89,3.68,,4.17,Dystopia
4.1,4.3,3.72,,4.1,Dystopia
4.1,4.42,3.73,,4.1,Dystopia
4.11,4.14,3.92,,4.11,Dystopia
3.91,3.9,3.79,,3.91,Dystopia
3.9,4.06,4.29,,3.9,Dystopia
4.24,3.96,4.09,,4.24,Dystopia
3.92,4.58,4.16,,3.92,Dystopia
4.28,3.74,3.52,,4.28,Dystopia
3.6,4.33,3.79,,3.6,Dystopia
4.06,4.04,3.71,,4.06,Dystopia
,,,,4.36,Vampires
,,,,4.06,Vampires
,,,,3.54,Vampires
,,,,4.27,Vampires
,,,,3.89,Vampires
,,,,4.3,Vampires
,,,,4.42,Vampires
,,,,4.14,Vampires
,,,,3.9,Vampires
,,,,4.06,Vampires
,,,,3.96,Vampires
,,,,4.58,Vampires
,,,,3.74,Vampires
,,,,4.33,Vampires
,,,,4.04,Vampires
,,,,4.26,Historical Fiction
,,,,3.96,Historical Fiction
,,,,3.96,Historical Fiction
,,,,4.05,Historical Fiction
,,,,3.68,Historical Fiction
,,,,3.72,Historical Fiction
,,,,3.73,Historical Fiction
,,,,3.92,Historical Fiction
,,,,3.79,Historical Fiction
,,,,4.29,Historical Fiction
,,,,4.09,Historical Fiction
,,,,4.16,Historical Fiction
,,,,3.52,Historical Fiction
,,,,3.79,Historical Fiction
,,,,3.71,Historical Fiction
