Price ($),Acreage,Height,Area,Exterior,Fuel,Rooms,Bedrooms,FullBath,HalfBath,Fireplce,Garage.
199657,1.63,3,1726,2,1,8,4,2,1,2,1
78482,0.495,1,1184,2,1,6,2,1,0,0,0
119962,0.375,4,1014,2,2,7,3,2,0,1,1
116492,0.981,1,1260,3,2,6,3,2,0,1,1
131263,1.14,4,1314,3,1,8,4,2,1,2,0
244128,3.24,8,1040,2,1,10,5,3,0,1,1
240777,1.942,4,1752,2,1,9,4,3,2,3,1
381984,1.377,4,2504,2,1,9,4,3,2,2,1
137275,3.65,4,708,2,1,8,4,1,0,0,0
131625,1.2,1,1776,2,2,7,3,7,1,2,1
74365,0.29,4,984,3,1,8,4,1,0,0,1
118467,0.5,4,926,2,2,7,3,1,1,2,1
100944,0.81,4,1160,2,1,8,4,1,1,1,0
127615,3.7,4,1122,3,2,6,2,2,0,2,0
235286,0.92,4,1837,2,1,9,5,3,1,4,1
205589,1.208,4,1553,1,2,9,4,2,1,3,1
178886,5.88,5,986,2,2,9,4,2,0,2,1
100300,0.459,3,1996,2,2,7,4,1,1,1,1
80822,0.691,5,716,3,1,5,2,1,1,0,1
100377,0.882,1,1132,2,1,5,2,1,0,1,1
96674,0.93,5,988,2,2,7,3,1,0,0,1
115583,0.891,9,960,3,2,8,4,2,0,2,1
94439,0.69,9,672,2,2,6,3,1,0,1,1
141843,3.52,5,990,2,2,7,4,1,0,1,1
145758,1.7,9,1025,2,2,7,3,1,1,1,1
229835,1.048,3,2444,2,2,10,6,4,0,3,1
129962,0.797,3,936,2,2,5,3,2,0,2,1
131836,0.929,1,1152,2,2,7,3,1,1,2,1
,2.3,8,1800,2,1,9,4,2,1,3,1
190021,1.9,9,1545,2,2,5,2,2,1,3,1
118687,0.938,1,1064,2,2,5,2,1,0,2,1
131781,0.948,1,1640,3,2,6,3,1,0,2,1
215791,0.694,3,2068,2,1,8,3,2,1,1,1
243067,3.4,1,2048,2,1,9,4,2,1,2,1
113131,0.446,5,1262,3,1,9,5,1,1,2,1
233032,1.5,5,2040,2,2,13,7,5,1,3,0
375365,3.9,5,2932,3,1,12,5,5,2,7,1
156226,0.91,5,1625,3,1,10,6,4,0,5,1
175455,0.948,4,1864,2,1,8,4,2,0,1,1
127922,1.04,5,1240,3,3,7,4,2,0,1,0
246357,4.3,5,1456,2,1,12,5,3,2,6,1
156761,0.517,5,1245,2,1,10,5,2,0,2,1
211348,1.64,5,1556,2,2,9,4,3,1,4,1
225129,1.79,9,2626,2,2,12,6,3,0,2,1
205585,1.36,4,2695,2,2,18,4,1,3,1,1
115919,1.36,5,921,3,2,10,4,2,1,1,0
120753,0.66,5,1008,3,1,6,3,1,1,1,1
99308,0.45,2,1644,2,1,8,4,2,0,1,1
274958,4.03,1,3076,2,1,7,3,3,0,2,1
275289,1.61,1,3270,3,1,13,6,2,1,2,1
221695,2,5,1745,2,1,9,4,2,1,3,1
343673,3.39,5,2374,2,2,12,7,2,1,4,1
374256,5.24,5,1980,3,1,14,8,6,1,4,1
453744,5.11,5,3501,3,1,12,6,4,0,2,1
361002,2.66,3,2937,2,4,9,4,4,1,4,1
133180,0.918,2,1746,2,2,6,3,1,0,1,1
147436,1.18,2,2047,3,1,6,3,2,0,0,1
198935,1.383,3,1424,2,1,8,3,2,1,2,1
177630,2.7,3,1472,3,2,8,5,2,0,0,1
351170,1.57,5,2440,2,2,12,6,4,2,3,1
235269,1.48,5,1440,2,1,7,3,2,1,3,1
212037,1.52,4,1952,2,2,10,4,2,1,1,1
,1.379,2,2068,2,1,9,4,2,1,2,1
232209,1.39,4,1736,2,2,8,4,2,1,2,1
103387,0.56,1,1572,3,2,6,3,1,1,1,1
360643,5.54,5,2460,2,1,12,6,4,2,5,1
301188,1.5,8,2900,2,2,10,3,2,2,2,1
153487,0.79,9,1662,2,1,6,3,2,0,1,1
253480,0.862,5,1720,2,2,10,5,5,1,1,1
257037,0.95,5,2004,1,2,9,4,2,2,2,1
136272,0.57,3,1508,2,2,9,3,2,0,3,1
159669,0.96,1,2104,2,1,7,3,2,0,3,1
238888,0.865,5,1628,2,1,11,6,5,1,1,1
239024,1.38,3,2092,2,2,8,4,3,0,2,1
128589,1,4,1861,3,1,9,5,2,0,1,1
145493,0.73,2,1864,2,1,8,4,2,1,1,1
140461,0.39,5,1698,3,2,12,5,2,1,1,1
106124,0.37,5,1142,2,1,8,4,1,1,4,1
125425,0.342,3,1052,2,2,7,3,2,1,2,1
187903,0.461,1,2214,2,2,9,3,1,2,2,0
111602,0.68,1,1598,2,2,6,3,1,1,2,1
