NumberHousesForSale,MedianMonthlyPrice,MedianMonthlyPrice1000s
5991,418900,418.9
1894,380000,380
4630,409000,409
4573,402250,402.25
4986,417000,417
3861,390000,390
5046,395000,395
4395,420000,420
1263,268900,268.9
4058,383388,383.39
3869,399900,399.9
7099,419000,419
2881,432000,432
4352,375000,375
3532,420000,420
2761,393750,393.75
5539,398000,398
4369,375000,375
992,356000,356
1969,241000,241
2658,408000,408
2590,249000,249
3484,412250,412.25
3997,410000,410
2523,254000,254
4880,390000,390
3106,411000,411
2146,255000,255
3501,421000,421
4443,439000,439
