Salary,YrsEm,Educ
38985,18,9
32920,15,9
29548,5,1
24749,6,0
41889,22,7
31528,3,3
38791,21,5
39828,18,5
28985,0,4
32782,0,7
43674,6,4
35467,3,6
29876,2,3
36431,9,4
56326,12,8
36571,6,4
35468,9,4
26578,0,2
47536,15,6
23654,0,0
37548,19,4
36578,4,8
54679,20,6
53234,25,6
31425,7,5
39743,9,5
26452,1,2
34632,5,4
35631,6,4
46211,14,6
34231,6,6
26548,5,0
36512,6,4
34869,7,4
41255,9,6
39331,9,6
35487,8,2
36487,6,2
68425,25,12
69246,22,10
65487,27,12
48695,6,8
51698,18,6
46184,20,4
34987,9,2
54899,12,8
