TermMark,FinalExamMark
83.44463158,83.59375
76.15657895,69.53125
82.71217895,69.140625
67.97523158,53.125
69.59945263,52.34375
85.98883158,82.03125
58.16846316,46.875
93.14032105,92.1875
73.94829474,46.875
72.24454737,68.75
63.76768947,57.03125
77.23889474,68.75
88.82402105,94.53125
44.42872632,42.1875
90.18731579,89.0625
78.55843158,67.96875
6.5492,0
74.23993684,58.59375
80.03036842,66.796875
62.75544737,56.25
69.64246316,78.125
60.86865789,57.03125
66.84021579,40.625
93.77216842,81.25
68.09961053,61.71875
55.39452632,42.1875
79.45504211,99.21875
77.11549474,60.15625
64.72233684,40.625
78.95589474,78.90625
90.84607368,86.328125
58.11474737,78.125
62.29616316,84.375
79.20316842,75
58.94417895,51.5625
49.74733684,46.09375
78.26352632,68.75
75.14073684,81.25
68.24478947,46.09375
85.73052632,90.625
73.60546842,60.9375
64.31551579,64.84375
81.90930526,82.8125
55.66741053,42.96875
80.19772632,77.734375
87.12284211,83.59375
71.94735263,82.421875
76.25543158,62.5
75.11534737,88.28125
54.25745789,53.90625
86.95501053,82.8125
65.27216842,65.625
74.63389474,83.59375
76.93572632,77.34375
71.96250526,66.40625
37.80574737,42.1875
64.69630526,82.03125
73.11215789,64.0625
82.59037895,61.71875
69.85785789,60.9375
67.33536842,64.84375
74.32945263,61.71875
86.5506,88.28125
73.36197895,73.4375
75.01064737,80.46875
83.37386316,88.28125
81.11170526,67.1875
93.05215789,90.625
86.56396842,84.375
70.46062105,44.53125
85.98165789,85.15625
36.48337895,35.15625
58.82584211,52.34375
71.83284211,71.09375
79.41038947,82.421875
57.81687368,52.34375
59.64683684,61.71875
68.29604211,69.53125
56.92732632,76.5625
78.66537895,75.78125
61.43113684,37.5
85.41673684,85.9375
70.14748421,77.34375
64.18452105,75.78125
71.33092105,88.28125
59.90113684,60.15625
73.67943684,61.71875
79.74209474,92.1875
60.32914286,60.15625
76.84040526,78.125
71.22075789,68.75
45.55986316,67.1875
77.97195789,78.90625
55.51118421,53.90625
70.64563158,84.375
58.82090526,64.0625
29.14424211,23.4375
85.92303158,73.4375
82.81769474,81.25
84.28767368,72.65625
42.75971429,26.5625
81.50886316,75.78125
64.94466842,60.9375
67.96772632,57.8125
85.49797895,65.625
62.51793684,67.1875
79.30289474,87.5
63.58321053,65.625
80.79312632,90.625
59.04827368,38.28125
79.97244211,58.59375
67.44696842,56.25
76.43634737,82.03125
79.02268421,67.96875
85.137,83.59375
62.22132632,77.34375
81.78522105,71.875
79.45795789,67.96875
88.74085263,87.5
75.18490526,87.5
70.82685263,71.875
83.43831053,83.59375
78.12281053,75
73.00607895,68.75
52.43789474,60.15625
71.58395789,63.28125
87.64222105,93.75
80.1194,71.875
54.02000526,35.9375
81.56492632,83.59375
59.36185263,50
74.53377895,82.03125
48.25108421,35.9375
67.48013684,35.9375
64.24474737,77.34375
68.58051579,42.1875
68.50838947,72.65625
72.57109474,67.1875
46.22366316,48.4375
69.67826316,71.875
74.13773684,53.90625
74.13423158,67.1875
65.47365263,55.46875
71.73831579,53.125
65.15975789,43.75
72.60597895,68.75
60.43033684,40.625
71.76043158,90.625
72.52144737,75
83.34314737,67.96875
51.00138947,43.75
75.33368421,69.53125
63.68216316,55.46875
68.26297895,68.359375
67.58021053,57.8125
68.37993684,57.8125
73.66889474,57.8125
65.11142105,60.15625
24.55087895,25.78125
59.39228571,63.28125
49.32082105,67.96875
41.2528,30.46875
81.94523158,76.5625
79.75505263,65.625
54.67711579,62.109375
60.54797895,82.03125
77.67993421,84.375
77.17066316,60.15625
44.73821053,67.96875
67.97878947,68.75
92.99433684,87.5
60.74806842,92.1875
72.04397895,81.25
61.89705263,73.4375
59.9744,56.25
66.97323158,67.1875
72.40555263,67.1875
71.68546316,68.359375
72.77807368,53.125
37.8044,47.65625
54.08088947,50.78125
89.24822105,90.625
82.87150526,86.71875
79.52621579,72.65625
72.0842,74.21875
49.47633684,57.03125
70.73257895,60.15625
58.6472,61.71875
63.92913684,55.46875
86.09801053,90.625
70.90664211,64.0625
77.58429474,75
72.74462105,60.9375
69.09651579,63.28125
85.00735789,84.375
70.38306316,63.28125
75.27534737,73.4375
94.24115789,96.875
69.25621053,50
70.75092632,72.65625
72.86247368,56.25
81.81366316,83.59375
86.41028421,68.75
53.74903158,53.125
64.25241053,64.0625
82.17318947,62.5
85.65158947,77.34375
50.00844211,38.28125
82.87834737,78.125
69.65087368,48.4375
64.52277895,69.53125
